I, [2018-02-13T09:42:00.508216 #4391]  INFO -- Kitchen: -----> Starting Kitchen (v1.19.2)
E, [2018-02-13T09:42:00.632173 #4391] ERROR -- Kitchen: ------Exception-------
E, [2018-02-13T09:42:00.632259 #4391] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2018-02-13T09:42:00.632288 #4391] ERROR -- Kitchen: Message: Vagrant 1.1.0 or higher is not installed. Please download a package from http://www.vagrantup.com/downloads.html.
E, [2018-02-13T09:42:00.632304 #4391] ERROR -- Kitchen: ----------------------
E, [2018-02-13T09:42:00.632318 #4391] ERROR -- Kitchen: ------Backtrace-------
E, [2018-02-13T09:42:00.632330 #4391] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/kitchen-vagrant-1.2.1/lib/kitchen/driver/vagrant.rb:526:in `rescue in vagrant_version'
E, [2018-02-13T09:42:00.632355 #4391] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/kitchen-vagrant-1.2.1/lib/kitchen/driver/vagrant.rb:522:in `vagrant_version'
E, [2018-02-13T09:42:00.632371 #4391] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/kitchen-vagrant-1.2.1/lib/kitchen/driver/vagrant.rb:184:in `verify_dependencies'
E, [2018-02-13T09:42:00.632385 #4391] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/lib/kitchen/driver.rb:43:in `for_plugin'
E, [2018-02-13T09:42:00.632399 #4391] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/lib/kitchen/config.rb:234:in `new_driver'
E, [2018-02-13T09:42:00.632412 #4391] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/lib/kitchen/config.rb:247:in `new_instance'
E, [2018-02-13T09:42:00.632424 #4391] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/lib/kitchen/config.rb:142:in `block in build_instances'
E, [2018-02-13T09:42:00.632437 #4391] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/lib/kitchen/config.rb:141:in `map'
E, [2018-02-13T09:42:00.632449 #4391] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/lib/kitchen/config.rb:141:in `with_index'
E, [2018-02-13T09:42:00.632465 #4391] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/lib/kitchen/config.rb:141:in `build_instances'
E, [2018-02-13T09:42:00.632487 #4391] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/lib/kitchen/config.rb:117:in `instances'
E, [2018-02-13T09:42:00.632504 #4391] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/lib/kitchen/command.rb:112:in `filtered_instances'
